number,kind,title,category,evidence,linked_fix_prs,status
2603,issue,streaming job logs race condition means not all logs are returned / TestDelete flake,workspace/agent lifecycle,"streaming job logs race condition means not all logs are returned / TestDelete flake Relates to #2347 HTTP endpoint `/api/v2/workspacebuilds/<build>/logs` will sometimes end without returning all logs. This causes our `TestDelete` cli tests to be flaky because they wait for the final ""Cleaning Up"" log which sometimes never comes, e.g. ``` ptytest.go:92: match exceeded deadline: wanted ""Cleaning Up""; got ""\x1b[1A\r✔ Q…",#2732;#2783;#5353,closed; linked_fix_merged
2617,issue,test/go/postgres test flakes,networking/proxy/websocket,"…o/postgres test flakes We constantly have flakes, I believe they are all around port forwarding / tunnels but not 100% sure. We have one reported example here: https://github.com/coder/coder/runs/7031020942?check_suite_focus=true test/go/postgres test flakes We constantly have flakes, I believe they are all around port forwarding / tunnels but not 100% sure. We have one reported example here: https://github.com/coder…",,closed
2709,issue,Test flake: coderd TestUsersFilter,test isolation/order dependency,"…ror: POST http://127.0.0.1:52793/api/v2/users: unexpected status code 409: User already exists. Test: TestUsersFilter t.go:81: 2022-06-28 21:43:07.472 [DEBUG] (provisionerd) <github.com/coder/coder/provisionerd/provisionerd.go:370> (*Server).closeWithError closing server with error {""error"": null} DONE 757 tests, 2 skipped, 1 failure in 72.970s ``` I suspect this has to do with the fact that we create 15 users with r…",#2730,closed; linked_fix_merged
2759,issue,Test Flake: TestSSH/ImmediateExit,networking/proxy/websocket,"Test Flake: TestSSH/ImmediateExit https://github.com/coder/coder/runs/7136525371?check_suite_focus=true Test Flake: TestSSH/ImmediateExit https://github.com/coder/coder/runs/7136525371?check_suite_focus=true There's been a lot of improvements to the reliability of the CLI tests lately, but I believe this specific flake should have been fixed by #3067, and later #3170. Closing now, feel free to re-open if it resurface…",,closed
3420,issue,`TestServer/Prometheus` test flake,timing/eventual consistency,`TestServer/Prometheus` test flake c.f. https://github.com/coder/coder/actions/runs/2821006778/attempts/1 ``` === Failed === FAIL: cli TestServer/Prometheus (0.19s) server_test.go:428: Error Trace: /home/runner/work/coder/coder/cli/server_test.go:428 Error: Should be true Test: TestServer/Prometheus --- FAIL: TestServer/Prometheus (0.19s) === FAIL: cli TestServer (0.20s) ``` `TestServer/Prometheus` test flake c.f. ht…,,closed
3747,issue,test flake: data race in TestFeaturesService_EntitlementsAPI,concurrency/race,test flake: data race in TestFeaturesService_EntitlementsAPI ``` === Failed === FAIL: enterprise/coderd TestFeaturesService_EntitlementsAPI/NoLicense (0.00s) testing.go:1319: race detected during execution of test --- FAIL: TestFeaturesService_EntitlementsAPI/NoLicense (0.00s) === FAIL: enterprise/coderd TestFeaturesService_EntitlementsAPI/FullLicense (0.00s) testing.go:1319: race detected during execution of test --…,#3765,closed; linked_fix_merged
4607,issue,flake: TestReplica/TwentyConcurrent,concurrency/race,flake: TestReplica/TwentyConcurrent ``` === FAIL: enterprise/replicasync TestReplica/TwentyConcurrent (1.65s) testing.go:1319: race detected during execution of test --- FAIL: TestReplica/TwentyConcurrent (1.65s) ``` See [run](https://github.com/coder/coder/actions/runs/3269194749/jobs/5376440207) flake: TestReplica/TwentyConcurrent ``` === FAIL: enterprise/replicasync TestReplica/TwentyConcurrent (1.65s) testing.go:…,#4842,closed; linked_fix_merged
4660,issue,flake: metrics cache tests,workspace/agent lifecycle,"…er/work/coder/coder/coderd/metricscache/asm_amd64.s:1594 Error: Should NOT be empty, but was {<nil> <nil> <nil>} Test: TestCache_BuildTime/one/start --- FAIL: TestCache_BuildTime/one/start (0.51s flake: metrics cache tests This happens frequently, see [run](https://github.com/coder/coder/actions/runs/3285969221/jobs/5413582505) ``` === FAIL: coderd/metricscache TestCache_BuildTime/one/start (0.51s) metricscache_test.…",,closed
5159,issue,Fix flake test TestProvisionerd/ReconnectAndComplete,workspace/agent lifecycle,"Fix flake test TestProvisionerd/ReconnectAndComplete This test has been failing quite frequently https://github.com/coder/coder/actions/runs/3532958155/jobs/5928185794 Fix flake test TestProvisionerd/ReconnectAndComplete This test has been failing quite frequently https://github.com/coder/coder/actions/runs/3532958155/jobs/5928185794 Hopefully fixed (or at least alleviated by #5169), let's re-open if it is still a pr…",#5160,closed; linked_fix_unmerged_or_unknown
5161,issue,test flake: coderd/azureidentity TestValidate fails with x509 malformed certificate error,networking/proxy/websocket,"test flake: coderd/azureidentity TestValidate fails with x509 malformed certificate error ``` $ go test . --- FAIL: TestValidate (0.08s) azureidentity_test.go:20: Error Trace: /Users/cian/src/cdr/coder/coderd/azureidentity/azureidentity_test.go:20 Error: Received unexpected error: parse certificate ""http://www.microsoft.com/pki/mscorp/Microsoft%20RSA%20TLS%20CA%2001.crt"": github.com/coder/coder/coderd/azureidentity.V…",,closed
5187,issue,Flaky: loadtest/reconnectingpty,resource exhaustion/timeout,"Flaky: loadtest/reconnectingpty I'm not able to pass CI tests and simply burning CPU cycles on this test: ``` ""error"": connection closed storj.io/drpc/drpcstream.(*Stream).sendPacket:268 storj.io/drpc/drpcstream.(*Stream).CloseSend:501 storj.io/drpc/drpcserver.(*Server).handleRPC:126 storj.io/drpc/drpcserver.(*Server).ServeOne:66 storj.io/drpc/drpcserver.(*Server).Serve.func2:112 storj.io/drpc/drpcctx.(*Tracker).trac…",,closed
5247,issue,"flaky: gotestsum can't find tag ""--- PASS:""",workspace/agent lifecycle,"…060563465 ``` === Failed === FAIL: enterprise/cli TestLicensesAddFake (unknown) ptytest.go:98: 2022-12-02 01:43:02.532: cmd: stdout: ""License with ID 1 added"" licenses_test.go:49: 2022-12-02 01:43:02.532: cmd: matched ""License with ID 1 added"" = ""License with ID 1 added"" licenses_test.go:61: 2022-12-02 01:43:02.563: cmd: matched ""Paste license:"" = ""> Paste license:"" licenses_test.go:62: 2022-12-02 01:43:02.563: cmd: …",,closed
5249,issue,flake: TestWorkspaceApplicationAuth,workspace/agent lifecycle,"flake: TestWorkspaceApplicationAuth Spotted in: https://github.com/coder/coder/actions/runs/3601098197/jobs/6066510767 ``` t.go:81: 2022-12-02 11:03:18.694 [DEBUG] (metrics_cache) <github.com/coder/coder/coderd/metricscache/metricscache.go:185> (*Cache).run metrics refreshed {""took"": ""16.501µs"", ""interval"": ""100ms""} t.go:81: 2022-12-02 11:03:18.780 [DEBUG] <github.com/coder/coder/coderd/httpmw/logger.go:63> Logger.fu…",,closed
5286,issue,flaky: enterprise/replicasync race detected during execution of test,concurrency/race,"flaky: enterprise/replicasync race detected during execution of test Spotted in: https://github.com/coder/coder/actions/runs/3605282480/jobs/6075510642 ``` === Failed === FAIL: enterprise/replicasync TestReplica/TwentyConcurrent (1.27s) testing.go:1319: race detected during execution of test --- FAIL: TestReplica/TwentyConcurrent (1.27s) === FAIL: enterprise/replicasync TestReplica (0.00s) DONE 2515 tests, 11 skipped…",,closed
5293,issue,flaky: TestAgent tailnet.(*Conn).Close() panics,concurrency/race,"…ference [signal SIGSEGV: segmentation violation code=0x1 addr=0x0 pc=0x179b4b4] goroutine 1289 [running]: github.com/coder/coder/tailnet.(*Conn).Close(0x0) /home/runner/work/coder/coder/tailnet/conn.go:488 +0x54 github.com/coder/coder/agent.(*agent).createTailnet.func1() /home/runner/work/coder/coder/agent/agent.go:266 +0x85 github.com/coder/coder/agent.(*agent).createTailnet(0xc0002eb560, {0x3b17630?, 0xc0007ad440},…",,closed
5301,issue,flaky: markdown-link-checker: Status 0,networking/proxy/websocket,"…s://www.contributor-covenant.org/faq → Status: 0 ``` It seems to be a transient network issue, so nothing we can properly fix, but maybe we can introduce 2-3 retries/backoff. flaky: markdown-link-checker: Status 0 Spotted in: https://github.com/coder/coder/actions/runs/3628078862/jobs/6118683656 ``` ERROR: 3 dead links found! [✖] https://www.contributor-covenant.org/ → Status: 0 [✖] https://www.contributor-covenant.o…",,closed
5302,issue,flaky: wsconncache found unexpected goroutines,concurrency/race,"flaky: wsconncache found unexpected goroutines Spotted in: https://github.com/coder/coder/actions/runs/3628078862/jobs/6119057615 https://github.com/coder/coder/actions/runs/3638729490/jobs/6141276331 ``` goleak: Errors on successful test run: found unexpected goroutines: [Goroutine 1128 in state chan receive, with gvisor.dev/gvisor/pkg/tcpip/transport/tcp.(*listenContext).performHandshake on top of the stack: gorout…",,closed
5309,issue,flaky: WorkspacePage exceeded timeout of 5000 ms for a test,browser/e2e/playwright,"flaky: WorkspacePage exceeded timeout of 5000 ms for a test Spotted in: https://github.com/coder/coder/actions/runs/3629622036/jobs/6122043573 ``` Summary of all failing tests FAIL src/pages/WorkspacePage/WorkspacePage.test.tsx (33.78 s) ● WorkspacePage › requests a delete job when the user presses Delete and confirms thrown: ""Exceeded timeout of 5000 ms for a test. Use jest.setTimeout(newTimeout) to increase the tim…",,closed
5323,issue,flaky: coderd/prometheusmetrics TestWorkspaces/Multiple,timing/eventual consistency,flaky: coderd/prometheusmetrics TestWorkspaces/Multiple Spotted in: https://github.com/coder/coder/actions/runs/3630546787/jobs/6124020920 ``` === FAIL: coderd/prometheusmetrics TestWorkspaces/Multiple (5.00s) prometheusmetrics_test.go:227: Error Trace: /home/runner/work/coder/coder/coderd/prometheusmetrics/prometheusmetrics_test.go:227 /home/runner/work/coder/coder/coderd/prometheusmetrics/asm_amd64.s:1594 Error: No…,,closed
5328,issue,flaky: templateversions unexpected status code 404: No previous template version,workspace/agent lifecycle,flaky: templateversions unexpected status code 404: No previous template version Spotted in: https://github.com/coder/coder/actions/runs/3631609128/jobs/6128439902 ``` templateversions_test.go:996: Error Trace: C:\a\coder\coder\coderd\templateversions_test.go:996 Error: Received unexpected error: GET http://localhost:53835/api/v2/organizations/a68d2356-90a4-461b-8a60-39deeceb5370/templateversions/dreamy_blackburn0/pr…,,closed
5343,issue,flaky: TestWorkspaceAppsNonCanonicalHeaders ,resource exhaustion/timeout,"…et ""http://localhost:50992/@me/adoring-dirac1/apps/test-app-owner/?query=true"": context deadline exceeded Test: TestWorkspaceAppsNonCanonicalHeaders/ProxyPath t.go:81: 2022-12-08 05:34:58.441 [WARN] <github.com/coder/coder/coderd/httpmw/logger.go:63> Logger.func1.1.1 GET flaky: TestWorkspaceAppsNonCanonicalHeaders Spotted in: https://github.com/coder/coder/actions/runs/3645591250/jobs/6155866531 ``` workspaceapps_tes…",,closed
5345,issue,flaky: TestProvisionerd/TemplateDryRun,workspace/agent lifecycle,flaky: TestProvisionerd/TemplateDryRun Spotted in: https://github.com/coder/coder/actions/runs/3646652294/jobs/6157967960 ``` provisionerd_test.go:408: Error Trace: /Users/runner/work/coder/coder/provisionerd/provisionerd_test.go:408 Error: Should be true Test: TestProvisionerd/TemplateDryRun t.go:81: 2022-12-08 08:46:07.817 [DEBUG] (provisionerd) <github.com/coder/coder/provisionerd/provisionerd.go:208> (*Server).co…,,closed
6197,issue,chore: test flake: TestTemplateVersionDryRun/OK,database/transactions/migrations,"…``` Unable to reproduce locally. Ran test 100 times with race detector on with `DB=ci`. chore: test flake: TestTemplateVersionDryRun/OK Seen here: https://github.com/coder/coder/actions/runs/4172299609/jobs/7223229286 ``` templateversions_test.go:713: Error Trace: /home/runner/work/coder/coder/coderd/templateversions_test.go:713 /home/runner/work/coder/coder/coderd/asm_amd64.s:1598 Error: ""0"" is not greater than or e…",,closed
6321,issue,test flake: TestSpeedtest,networking/proxy/websocket,"…DEBUG] (agent) <github.com/coder/coder/agent/agent.go:333> (*agent).run running tailnet with derpmap {""derpmap"": {""Regions"": {""1"": {""EmbeddedRelay"": true, ""RegionID"": 1, ""RegionCode"": ""coder"", ""RegionName"": ""Coder"", ""Nodes"": [{""Name"": ""1a"", ""RegionID"": 1, ""HostName"": ""localhost"", ""IPv4"": ""127.0.0.1"", ""STUNPort"": 45838, ""DERPPort"": 32869, ""InsecureForTests"": true, ""ForceHTTP"": true}]}}}} t.go:81: 2023-02-24 17:51:08.0…",,closed
6481,issue,flake: coderd_test.TestTemplateMetrics,timing/eventual consistency,flake: coderd_test.TestTemplateMetrics `TestTemplateMetrics` in `coderd/templates_test.go` is disabled because it flakes often in my experience when running the full test suite. flake: coderd_test.TestTemplateMetrics `TestTemplateMetrics` in `coderd/templates_test.go` is disabled because it flakes often in my experience when running the full test suite. ``` templates_test.go:804: Error Trace: /home/coder/coder/coderd…,,closed
6505,issue,test flake: data race in codersdk.Client.DeploymentValues(),concurrency/race,test flake: data race in codersdk.Client.DeploymentValues() Seen in https://github.com/coder/coder/actions/runs/4363968613/jobs/7630711930 ``` 2023-03-08T11:52:39.8248773Z WARNING: DATA RACE 2023-03-08T11:52:39.8248896Z Write at 0x000006a91928 by goroutine 137566: 2023-03-08T11:52:39.8249023Z reflect.Value.SetString() 2023-03-08T11:52:39.8249300Z /opt/hostedtoolcache/go/1.20.2/x64/src/reflect/value.go:2439 +0x90 2023…,,closed
6506,issue,test flake: failed to query providers from Terraform in unit test,networking/proxy/websocket,"…: log: [ERROR] ""https://registry.terraform.io/.well-known/terraform.json"": read tcp Error: vision_test.go:422: log: [ERROR] 10.79.0.105:5[198](https://github.com/coder/coder/actions/runs/4364182125/jobs/7631187781#step:9:199)7->18.165.116.100:443: read: connection reset by peer Error: vision_test.go:422: log: [ERROR] provision_test.go:429: Error Trace: /Users/runner/work/coder/coder/provisioner/terraform/provision_te…",,closed
6961,issue,`TestWorkspaceAgent_Metadata` test flake,workspace/agent lifecycle,`TestWorkspaceAgent_Metadata` test flake @ammario https://github.com/coder/coder/actions/runs/4582997226/jobs/8093567169?pr=6945 `TestWorkspaceAgent_Metadata` test flake @ammario https://github.com/coder/coder/actions/runs/4582997226/jobs/8093567169?pr=6945,,closed
7302,issue,test flake: data race in TestTunnel,networking/proxy/websocket,test flake: data race in TestTunnel https://github.com/coder/coder/actions/runs/4815962912/jobs/8575133971?pr=7260 ``` === Failed === FAIL: coderd/devtunnel TestTunnel/V1 (1.24s) 2023-04-27 04:27:46.128 [INFO] (stdlib) <net/http/server.go:3217> (*Server).logf 2023/04/27 04:27:46 http: superfluous response.WriteHeader call from github.com/coder/coder/coderd/devtunnel_test.newTunnelServer.func1 (tunnel_test.go:183) t.g…,,closed
7578,issue,flake: TestWorkspaceProxyCRUD/CreateAndUpdate,concurrency/race,…goAuthorizer.authorize /home/runner/work/coder/coder/coderd/rbac/authz.go:377 - context canceled stuntest.go:63: STUN server shutdown ``` Closed by https://github.com/coder/coder/pull/8755,,closed
7642,issue,flake: cli TestScaleTestWorkspaceTraffic,workspace/agent lifecycle,…eshed took=100.013792ms interval=1h0m0s t.go:85: 2023-05-23 04:44:09.563 [debu] provisionerd: connected t.go:85: 2023-05-23 04:44:09.773 flake: cli TestScaleTestWorkspaceTraffic ``` === Failed === FAIL: cli TestScaleTestWorkspaceTraffic (10.12s) t.go:85: 2023-05-23 04:44:09.519 [debu] metrics_cache: deployment stats metrics refreshed took=90.520269ms interval=5m0s t.go:85: 2023-05-23 04:44:09.[530](https://github.com…,,closed
7643,issue,flake: TestPortForward_None hangs,networking/proxy/websocket,"flake: TestPortForward_None hangs ``` === Failed === FAIL: cli (0.00s) panic: test timed out after 7m0s running tests: TestPortForward_None (6m52s) goroutine 51017 [running]: testing.(*M).startAlarm.func1() C:/hostedtoolcache/windows/go/1.20.3/x64/src/testing/testing.go:2241 +0x3c5 created by time.goFunc C:/hostedtoolcache/windows/go/1.20.3/x64/src/time/sleep.go:176 +0x32 goroutine 1 [chan receive, 6 minutes]: testin…",,closed
7752,issue,TestPubsub_Disconnect flake on port binding,networking/proxy/websocket,…7ab9d95e89f294334975a89e9b70d955c9f8d8d6e96294644d893): Error starting userland proxy: listen tcp4 0.0.0.0:36475: bind: address already in use github.com/ory/dockertest/v3.(*Pool).RunWithOptions /home/runner/go/pkg/mod/github.com/ory/dockertest/v3@v3.9.1/dockertest.go:457 github.com/coder/coder/coderd/database/postgres.OpenContainerized /home/runner/work/coder/coder/coderd/database/postgres/postgres.go:82 github.com/…,,closed
7791,issue,flake: leak in logFollower,concurrency/race,"flake: leak in logFollower See example failure [here](https://github.com/coder/coder/actions/runs/5150396317/jobs/9274475775). Error logs: ``` goleak: Errors on successful test run: found unexpected goroutines: [344](https://github.com/coder/coder/actions/runs/5150396317/jobs/9274475775#step:5:345)[Goroutine 175667 in state chan send, with github.com/coder/coder/coderd.(*logFollower).listener on top of the stack: [34…",,closed
7834,issue,add coder package derivation to nix flake,not-a-test-flake/nix-flake-or-maintenance,add coder package derivation to nix flake It would be awesome to be able to install coder directly from this flake to get the latest version. In nixpkgs the coder version seems to still be at 0.17.1: https://search.nixos.org/packages?channel=unstable&from=0&size=50&sort=relevance&type=packages&query=coder Currently have to manually overwrite the version and src using `pkgs.coder.overrideAttrs` which isn't a huge issu…,,closed
7913,issue,Flake in devtunnel tests,concurrency/race,"…s for about a quarter of our overall flakiness, and is the primary flake in our race tests. Flake in devtunnel tests @deansheather I was hoping you could take a look here, as I think you're most familiar with the code. The flake embodied [here](https://github.com/coder/coder/actions/runs/5188837163/jobs/9353008493) accounts for about a quarter of our overall flakiness, and is the primary flake in our race tests. look…",,closed
7946,issue,test flake: enterprise/coderd TestReplicas,concurrency/race,…/coder/actions/runs/5226021016/jobs/9436245128?pr=7945#step:5:1182 ``` WARNING: DATA RACE Write at 0x00c00e33e910 by goroutine 5361: github.com/coder/coder/enterprise/coderd_test.TestIssueSignedAppToken.func3() /home/runner/actions-runner/_work/coder/coder/enterprise/coderd/workspaceproxy_test.go:416 +0x64c testing.tRunner() /opt/hostedtoolcache/go/1.20.5/x64/src/testing/testing.go:1576 +0x216 testing.(*T).Run.func1(…,,closed
7948,issue,Flake in test-js,networking/proxy/websocket,"…unning into on the Go side? I notice we are actually opening the workspaceagent websocket in this test - perhaps we could mock that out somehow instead to avoid this issue. @code-asher I see that you were the original author - does the above seem reasonable? It looks like we are mocking out the web socket, I think? We create a websocket with `jest-websocket-mock` then we send text on that (essentially acting as the b…",,closed
8161,issue,flake: TestPGCoordinatorDual_Mainline,networking/proxy/websocket,…ger those updates when heartbeats _add_ a coordinator. ``` === FAIL: enterprise/tailnet TestPGCoordinatorDual_Mainline (60.11s) t.go:85: 2023-06-22 14:38:16.241 [info] pgcoord: serving connection coordinator_id=adba35e0-122d-48ee-bfef-8e47b867872e agent_id=b33080f4-631c-40d2-bb57-032330b7c073 client_id=5377dccc-d512- flake: TestPGCoordinatorDual_Mainline I think what's happening is that the node updates all arrive be…,,closed
8370,issue,Test flake: TestPGCoordinatorSingle_MissedHeartbeats,networking/proxy/websocket,"…ons/runs/5486713622/jobs/9997169817?pr=8369#step:5:266 ``` === FAIL: enterprise/tailnet TestPGCoordinatorSingle_MissedHeartbeats (60.17s) t.go:85: 2023-07-07 13:06:27.939 [info] pgcoord: starting coordinator coordinator_id=3e685d6b-e885-4b8c-a67f-96477e5407f9 t.go:85: 2023-07-07 13:06:27.939 [info] pgcoord: serving connection coordinator_id=3e685d6b-e885-4b8c-a67f-96477e5407f9 name="""" agent_id=be35d84d-6a45-4ad0-b242…",,closed
8968,issue,test flake: coderd TestWorkspaceWatcher,resource exhaustion/timeout,"…e/runner/actions-runner/_work/coder/coder/coderd/workspaces_test.go:2200 Error: timed out waiting for event Test: TestWorkspaceWatcher Messages: workspace build faile test flake: coderd TestWorkspaceWatcher c.f. https://github.com/coder/coder/actions/runs/5797085582/job/15711945289?pr=8939 ``` t.go:85: 2023-08-08 12:47:44.211 [info] TestWorkspaceWatcher: done waiting for event event=""workspace build pending or failed…",,closed
9018,issue,test flake: TestAgent_UpdatedDERP,networking/proxy/websocket,"test flake: TestAgent_UpdatedDERP c.f. https://github.com/coder/coder/actions/runs/5817048961/job/15771103773?pr=8939 It looks like it might be an issue closing down the agent: ``` t.go:85: 2023-08-10 04:48:10.494 [debu] agent: reporting lifecycle state payload={""state"":""off"",""changed_at"":""2023-08-10T04:48:08.492411Z""} t.go:85: 2023-08-10 04:48:10.494 [debu] agent.client: post lifecycle req={""state"":""off"",""changed_at…",,closed
9105,issue,test flake: TestAgentStats,workspace/agent lifecycle,"…tx_bytes"":1,""session_count_vscode"":3,""session_count_jetbrains"":4,""session_count_reconnecting_pty"":5,""session_count_ssh"":6,""metrics"":null} 2023-08-15T08:41:07.9175423Z t.go:85: 2023-08-15 08:40:14.446 [debu] activity_bump: bumped deadline from activity request_id=df4a2f52-2d3e-42e2-bee6-e368293de12f workspace_id=d3093ff2-06b0-4de1-a5cf-b0daf6c45bcc 2023-08-15T08:41:07.9176214Z t.go:85: 2023-08-15 08:40:14.471 [debu] P…",,closed
9107,issue,test flake: TestDERPHeaders,networking/proxy/websocket,"test flake: TestDERPHeaders `coder ping` can apparently sometimes succeed without calling DERP from the client side. sometimes we get ``` ptytest.go:131: 2023-08-15 09:59:53.190: cmd: ""pong from upbeat-aryabhata8-p2T p2p via 172.20.0.6:60589 in 0s"" ``` instead of ``` ptytest.go:131: 2023-08-15 10:13:31.289: cmd: ""pong from kind-hopper4-9WU proxied via DERP(Coder Embedded Relay) in 1ms"" ``` and `/derp` is never called…",#9262,closed; linked_fix_merged
9168,issue,test flake: TestScaleTestDashboard fails intermittently,timing/eventual consistency,…: workspace app stats collector started t.go:85: 2023-08-18 09:07:17.991 [debu] metrics_cache: deployment stats metrics refreshed took=14.978µs interval=5m0s t.go:85: 2023-08-18 09:07:18.004 [debu] metrics_cache: template daus metrics refreshed took=9.951814ms interval=1h0m0s t.go:85: 2023-08-18 09:07: test flake: TestScaleTestDashboard fails intermittently Seen in https://github.com/coder/coder/actions/runs/59007097…,,closed
9315,issue,flake: TestDERPHeaders,resource exhaustion/timeout,"…:39.3404118Z Test: TestDERPHeaders 2023-08-24T18:30:39.3405131Z Messages: match deadline exceeded: context deadline exceeded (wanted ""pong from epic-goodall9-MpM""; got ""ping to \""epic-goodall9-MpM\"" timed out \r\n"") 2023-08-24T18:30:39.3405770Z ptytest.go:95: 2023-08-24 18:29:28.810: cmd: closing expecter: PTY close ``` also seen [here](https://github.com/coder/coder/actions/runs/6018071961/job/16325609033#step:5:382…",,closed
9324,issue,e2e flake: createTemplate,networking/proxy/websocket,…21b request_id=98de5b64-1168-49ff-b290-7c7bc6d48cdf ... error= error writing to websocket: github.com/coder/coder/v2/coderd.(*logFollower).query /home/runner/actions-runner/_work/coder/coder/coderd/provisionerjobs.go:459 - failed to write msg: failed to close writer: failed to write fin frame: failed to write frame: WebSocket closed: failed to acquire lock: context deadline exceeded 2023/08/24 12:05:51 websocket: fai…,,closed
9331,issue,test flake: TestPatchCancelWorkspaceBuild,workspace/agent lifecycle,test flake: TestPatchCancelWorkspaceBuild Seen in: https://github.com/coder/coder/actions/runs/5974225410/job/16207962514?pr=9330 ``` === FAIL: coderd TestPatchCancelWorkspaceBuild/User_is_not_allowed_to_cancel (2.00s) t.go:85: 2023-08-25 09:27:18.518 [debu] workspaceapps.stats_collector: workspace app stats collector started t.go:85: 2023-08-25 09:27:18.522 [debu] provisionerd: successfully connected to coderd t.go:…,,closed
